user.id,user.name,timestamp,lon,lat,acc,url,pal1,pal3,pal5
35034347371@N01,roland,2013-05-28T16:12:26Z,-123.104862,49.277505,16,http://www.flickr.com/photos/35034347371@N01/8873675572/,#61645F,"c(""#3F412D"", ""#1F231A"", ""#929699"")","c(""#C9CDD3"", ""#8B908F"", ""#E2E3EE"", ""#5F635C"", ""#2E3126"")"
41818779@N00,Robert+Scales,2006-07-19T19:35:44Z,-123.113517,49.284212,16,http://www.flickr.com/photos/41818779@N00/194089381/,#5B5953,"c(""#553321"", ""#0E1412"", ""#848D8B"")","c(""#304049"", ""#16110B"", ""#967E66"", ""#713F28"", ""#A3B0AE"")"
41894183285@N01,robertg6n1,2006-10-20T13:00:47Z,-123.034515,49.218269,10,http://www.flickr.com/photos/41894183285@N01/278393864/,#606839,"c(""#C4C99C"", ""#7F8725"", ""#1E2712"")","c(""#4D570D"", ""#0B1207"", ""#74764B"", ""#374231"", ""#D0D890"")"
54971823@N00,chicgeekuk,2007-08-07T14:59:39Z,-123.13528,49.270716,13,http://www.flickr.com/photos/54971823@N00/1045718162/,#65564E,"c(""#A7A3A3"", ""#816446"", ""#352826"")","c(""#916B48"", ""#6F5C44"", ""#513732"", ""#18191B"", ""#A7A3A3"")"
35034347371@N01,roland,2013-07-22T18:13:17Z,-123.122535,49.283561,16,http://www.flickr.com/photos/35034347371@N01/9351981004/,#4A4A4A,"c(""#7C7C7C"", ""#727272"", ""#1B1B1B"")","c(""#808080"", ""#7B7A7B"", ""#787878"", ""#727272"", ""#1B1B1B"")"
79353384@N00,Tristen.Pelton,2010-07-08T23:33:23Z,-123.131375,49.239288,14,http://www.flickr.com/photos/79353384@N00/4792800322/,"NA","NA","NA"
35468134499@N01,matttrent,2006-08-26T03:44:36Z,-123.100664,49.281433,16,http://www.flickr.com/photos/35468134499@N01/225099621/,#171009,"c(""#392918"", ""#100C09"", ""#090500"")","c(""#090500"", ""#533F24"", ""#1E120B"", ""#100C09"")"
13507995@N00,chrisada,2005-10-15T14:20:08Z,-123.129787,49.301453,13,http://www.flickr.com/photos/13507995@N00/52895352/,"NA","NA","NA"
35034347371@N01,roland,2013-10-21T10:38:52Z,-123.07422,49.276794,16,http://www.flickr.com/photos/35034347371@N01/10412783734/,#4D4E4C,"c(""#ACB0B3"", ""#4D4D4A"", ""#1D1D1A"")","c(""#5A5956"", ""#3E3F3C"", ""#B4BABE"", ""#A4A5A8"", ""#1D1D1A"")"
35034346160@N01,bmann,2012-07-11T19:52:21Z,-123.104249,49.282655,16,http://www.flickr.com/photos/35034346160@N01/7551654992/,#AD8766,"c(""#BE4C15"", ""#524021"", ""#D2C9B1"")","c(""#C7BCA9"", ""#AB9057"", ""#EBECE3"", ""#BE4C15"", ""#524021"")"
12291588@N00,Exployment+Now,2007-11-18T11:48:01Z,-123.068107,49.260173,15,http://www.flickr.com/photos/12291588@N00/2118290234/,#7B4C33,"c(""#892B0D"", ""#1E0F07"", ""#A2795B"")","c(""#AD4D1E"", ""#664B22"", ""#CAAE93"", ""#7D240E"", ""#19100A"")"
35034347371@N01,roland,2013-02-13T08:08:11Z,-123.074295,49.262432,16,http://www.flickr.com/photos/35034347371@N01/8470347985/,#969696,"c(""#747474"", ""#232323"", ""#E1E1E1"")","c(""#EFEFEF"", ""#D2D2D2"", ""#969696"", ""#535353"", ""#232323"")"
35034347371@N01,roland,2009-10-13T09:01:26Z,-123.09882,49.26917,16,http://www.flickr.com/photos/35034347371@N01/4009176520/,#86807F,"c(""#F0ECF0"", ""#938A86"", ""#494441"")","c(""#EFEBEF"", ""#918988"", ""#817975"", ""#685E59"", ""#1E1B19"")"
20163306@N00,vociferous.,2008-03-07T21:26:26Z,-123.127899,49.287207,13,http://www.flickr.com/photos/20163306@N00/2317473777/,#5F6978,"c(""#AECDFA"", ""#6C7075"", ""#313136"")","c(""#8795A2"", ""#827B6B"", ""#5B5253"", ""#AECDFA"", ""#2F333B"")"
35482298@N06,Yaletown+BIA,2011-10-02T10:10:29Z,-123.111462,49.288438,15,http://www.flickr.com/photos/35482298@N06/6214474622/,#746961,"c(""#453533"", ""#121110"", ""#BBAFA0"")","c(""#58473D"", ""#322624"", ""#121110"", ""#E2D3C4"", ""#93887D"")"
35468134499@N01,matttrent,2007-04-07T18:59:30Z,-123.098673,49.268938,16,http://www.flickr.com/photos/35468134499@N01/450129815/,#272C2D,"c(""#8D9795"", ""#080E12"", ""#010305"")","c(""#66786F"", ""#253C4C"", ""#D0D2CF"", ""#0A0E0F"", ""#010305"")"
105592384@N07,takenji1989,2013-09-01T18:03:29Z,-123.105853,49.283688,16,http://www.flickr.com/photos/105592384@N07/10350321345/,#69676B,"c(""#CBCCD0"", ""#736C6F"", ""#323137"")","c(""#F5F4F5"", ""#9BA1AE"", ""#747174"", ""#4B4347"", ""#1D1C21"")"
84987970@N00,Sweet+One,2013-11-23T13:39:18Z,-123.118875,49.276675,16,http://www.flickr.com/photos/84987970@N00/11183156776/,#676358,"c(""#EBE8DB"", ""#6A665D"", ""#231F14"")","c(""#2B2F25"", ""#141409"", ""#878075"", ""#614030"", ""#E8E8DE"")"
18095953@N00,gak,2013-12-20T14:44:15Z,-123.109694,49.280672,16,http://www.flickr.com/photos/18095953@N00/11470904535/,#958175,"c(""#9D6C4D"", ""#261B18"", ""#C7BEB7"")","c(""#BFAFA2"", ""#A89A90"", ""#DAD6D4"", ""#9D6C4D"", ""#261B18"")"
23269969@N00,riacale,2008-12-20T17:16:48Z,-123.06168,49.205892,16,http://www.flickr.com/photos/23269969@N00/5272167182/,#64758D,"c(""#5C6D86"", ""#2E3641"", ""#8397B6"")","c(""#92A7C6"", ""#859AB9"", ""#798DAC"", ""#5C6D86"", ""#2E3641"")"
35034347371@N01,roland,2011-05-23T16:33:47Z,-123.110348,49.27138,16,http://www.flickr.com/photos/35034347371@N01/5752660019/,#5A6556,"c(""#9DA7B0"", ""#696E5F"", ""#303F25"")","c(""#3A4842"", ""#263508"", ""#BCC3C6"", ""#878F8D"", ""#636B64"")"
24395354@N02,Free+2+Be,2010-03-21T11:56:35Z,-123.092831,49.313152,16,http://www.flickr.com/photos/24395354@N02/4452510766/,#646460,"c(""#BDB8AF"", ""#7C7C74"", ""#2A2E2E"")","c(""#86857D"", ""#717068"", ""#CBC5BA"", ""#AEABA4"", ""#2A2E2E"")"
21016078@N00,fauxtoebill,2008-08-26T14:41:33Z,-123.130956,49.300879,16,http://www.flickr.com/photos/21016078@N00/2807718678/,#2C492F,"c(""#55784C"", ""#275337"", ""#1A2D1D"")","c(""#6BA566"", ""#507057"", ""#4D663A"", ""#275337"", ""#1A2D1D"")"
44124450371@N01,mezzoblue,2009-08-08T12:35:48Z,-123.14,49.269166,13,http://www.flickr.com/photos/44124450371@N01/3965138066/,#74603D,"c(""#CBB293"", ""#806534"", ""#403214"")","c(""#F1E4D6"", ""#D2B697"", ""#B3966E"", ""#806534"", ""#403214"")"
35034347371@N01,roland,2009-04-09T09:50:47Z,-123.07356,49.26553,16,http://www.flickr.com/photos/35034347371@N01/3426320739/,#A4A19A,"c(""#7E7B74"", ""#403825"", ""#E9E9E7"")","c(""#E8E9E9"", ""#C2BEB5"", ""#7E7B74"", ""#403825"", ""#FDFDFE"")"
72478268@N00,jlachoff,2009-06-28T17:26:57Z,-123.145584,49.304306,16,http://www.flickr.com/photos/72478268@N00/3709406495/,#575E67,"c(""#8A9FB3"", ""#6A6A6A"", ""#34383E"")","c(""#9BB5CD"", ""#7F8182"", ""#4D4C4C"", ""#202328"", ""#5F6C7D"")"
54322086@N00,freedryk,2014-02-03T18:13:55Z,-123.108667,49.27083,16,http://www.flickr.com/photos/54322086@N00/12450151864/,#AA9C82,"c(""#999994"", ""#786342"", ""#CAB998"")","c(""#BCB080"", ""#B5885E"", ""#D2C7AB"", ""#ABA9A2"", ""#6F634C"")"
86293038@N00,Spatial+Mongrel,2005-02-11T16:47:49Z,-123.134765,49.285723,8,http://www.flickr.com/photos/86293038@N00/4619782/,#898385,"c(""#736D70"", ""#2F292E"", ""#C0BBBA"")","c(""#453F45"", ""#181318"", ""#DDD9D7"", ""#A39D9C"", ""#736D70"")"
47078593@N05,WinstonWong*,2012-08-18T15:43:39Z,-123.121483,49.282518,15,http://www.flickr.com/photos/47078593@N05/7813310660/,#7A6B5E,"c(""#6B4433"", ""#181C23"", ""#B2A590"")","c(""#445E64"", ""#483C33"", ""#D8CEB3"", ""#AA785C"", ""#20171C"")"
36087885@N02,BasicGov,2009-10-05T12:22:47Z,-123.112133,49.284981,16,http://www.flickr.com/photos/36087885@N02/4076398870/,#797874,"c(""#71675D"", ""#131D34"", ""#ADAB9E"")","c(""#D6D5D2"", ""#A19F8C"", ""#5D697B"", ""#271D19"", ""#9B9685"")"
35034347371@N01,roland,2013-06-04T11:56:51Z,-123.115028,49.284389,16,http://www.flickr.com/photos/35034347371@N01/8952589172/,#585858,"c(""#CECECE"", ""#555555"", ""#1D1D1D"")","c(""#B7B7B7"", ""#888888"", ""#FCFCFC"", ""#555555"", ""#1D1D1D"")"
41683013@N00,cabbit,2006-03-21T17:48:30Z,-123.063933,49.257358,14,http://www.flickr.com/photos/41683013@N00/116117932/,#1F1710,"c(""#654A36"", ""#060301"", ""#010101"")","c(""#F5DDC0"", ""#6F3310"", ""#150B05"", ""#090501"", ""#010101"")"
31397036@N00,davemmett,2010-07-08T16:31:32Z,-123.085563,49.246791,14,http://www.flickr.com/photos/31397036@N00/4774994731/,#8B826D,"c(""#DFCEB6"", ""#AB8F52"", ""#4F5455"")","c(""#CAB458"", ""#6E7676"", ""#6D5F52"", ""#3F4245"", ""#DFCEB6"")"
54151899@N00,Accidental+Hedonist,2004-10-16T08:03:58Z,-123.111419,49.28855,14,http://www.flickr.com/photos/54151899@N00/906358/,#818284,"c(""#6D7070"", ""#46494B"", ""#A7A7A8"")","c(""#5D6060"", ""#2E3133"", ""#6B6F71"", ""#C4C1C1"", ""#898B8E"")"
24064901@N00,vfk,2006-11-19T13:47:20Z,-123.120666,49.284,16,http://www.flickr.com/photos/24064901@N00/301689887/,#979398,"c(""#8F7A7B"", ""#3D3D41"", ""#C8CAD2"")","c(""#9E908D"", ""#6C7475"", ""#67434A"", ""#24262B"", ""#C8CAD2"")"
36404721@N00,MaxChu,2011-07-13T16:50:43Z,-123.117041,49.300828,16,http://www.flickr.com/photos/36404721@N00/6074296973/,#8E969B,"c(""#CDD4D8"", ""#AEB1B7"", ""#5E696D"")","c(""#B4C0C9"", ""#A7A1A3"", ""#7A8C93"", ""#424547"", ""#CDD4D8"")"
11344412@N00,brenda.,2006-09-21T13:57:40Z,-123.11643,49.28685,15,http://www.flickr.com/photos/11344412@N00/249261297/,#686A6A,"c(""#5D6263"", ""#161617"", ""#969897"")","c(""#6C7172"", ""#4E5254"", ""#A4A5A0"", ""#888C8E"", ""#161617"")"
41683013@N00,cabbit,2009-01-16T17:54:22Z,-123.127227,49.28852,15,http://www.flickr.com/photos/41683013@N00/3208550959/,"NA","NA","NA"
39550519@N04,OPUS+Hotels,2010-02-09T20:08:49Z,-123.122741,49.27494,15,http://www.flickr.com/photos/39550519@N04/4366052587/,#523B37,"c(""#A97B78"", ""#563C3C"", ""#231913"")","c(""#784439"", ""#503530"", ""#BCA491"", ""#8D4E68"", ""#1F1A15"")"
72609409@N00,Jared+Kelly,2005-09-02T18:09:12Z,-123.13219,49.282588,12,http://www.flickr.com/photos/72609409@N00/305868750/,#797D80,"c(""#605D59"", ""#212321"", ""#B2BAC3"")","c(""#AAB3C1"", ""#A59F97"", ""#5A5C5E"", ""#23231F"", ""#C0CAD5"")"
25988617@N07,nicholas.blah,2009-11-27T20:08:32Z,-123.108887,49.27808,14,http://www.flickr.com/photos/25988617@N07/4152029144/,#361C1E,"c(""#9D5A63"", ""#2C0A0C"", ""#050404"")","c(""#E3B7B8"", ""#976D78"", ""#7C212D"", ""#2C0A0C"", ""#050404"")"
98755122@N00,Graham+Ballantyne,2008-07-11T20:52:55Z,-123.132077,49.268987,16,http://www.flickr.com/photos/98755122@N00/2699969484/,#717171,"c(""#E1E1E1"", ""#A1A1A1"", ""#202020"")","c(""#BABABA"", ""#878787"", ""#3C3C3C"", ""#050505"", ""#E1E1E1"")"
35034347371@N01,roland,2011-11-20T21:23:07Z,-123.099931,49.277611,16,http://www.flickr.com/photos/35034347371@N01/6374791433/,#444139,"c(""#79746F"", ""#5B523D"", ""#1D1E1A"")","c(""#312D1A"", ""#0F1214"", ""#92877A"", ""#6E6358"", ""#4D4D4A"")"
35034347371@N01,roland,2009-06-11T15:44:47Z,-123.10471,49.26935,16,http://www.flickr.com/photos/35034347371@N01/3617537885/,#6A6B5B,"c(""#C3C0AA"", ""#647375"", ""#3F3925"")","c(""#5E7F97"", ""#696653"", ""#DFEAF2"", ""#A79762"", ""#3F3925"")"
